Country,Males,Females,Birth rate,Death rate,Overall rank,Score,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption
Switzerland,81.9,85.9,10.3,8.2,6,7.48,1.452,1.526,1.052,0.572,0.263,0.343
Iceland,81.8,84.5,13.1,6.3,4,7.494,1.38,1.624,1.026,0.591,0.354,0.118
Norway,81.7,84.7,10.4,7.8,3,7.554,1.488,1.582,1.028,0.603,0.271,0.341
Japan,81.5,87.6,6.6,11.7,58,5.886,1.327,1.419,1.088,0.445,0.069,0.14
Sweden,81.4,85.0,11.0,8.8,7,7.343,1.387,1.487,1.009,0.574,0.267,0.373
Australia,81.3,85.4,12.1,6.7,11,7.228,1.372,1.548,1.036,0.557,0.332,0.29
Malta,81.3,84.5,8.5,8.0,22,6.726,1.3,1.52,0.999,0.564,0.375,0.151
Singapore,81.1,85.9,8.6,5.8,34,6.262,1.572,1.463,1.141,0.556,0.271,0.453
Luxembourg,80.7,84.9,10.5,7.0,14,7.09,1.609,1.479,1.012,0.526,0.194,0.316
Canada,80.6,84.7,9.6,7.8,9,7.278,1.365,1.505,1.039,0.584,0.285,0.308
Italy,80.6,85.1,6.8,12.0,36,6.223,1.294,1.488,1.039,0.231,0.158,0.03
South Korea,80.6,86.6,5.1,6.2,54,5.895,1.301,1.219,1.036,0.159,0.175,0.056
New Zealand,80.5,84.0,11.5,6.8,8,7.307,1.303,1.557,1.026,0.585,0.33,0.38
Israel,80.5,84.6,19.7,5.4,13,7.139,1.276,1.455,1.029,0.371,0.261,0.082
Spain,80.3,86.2,7.1,9.5,30,6.354,1.286,1.484,1.062,0.362,0.153,0.079
Ireland,80.2,84.1,11.6,6.6,16,7.021,1.499,1.553,0.999,0.516,0.298,0.31
Netherlands,79.9,83.1,10.2,9.8,5,7.488,1.396,1.522,0.999,0.557,0.322,0.298
Denmark,79.6,83.3,10.8,9.8,2,7.6,1.383,1.573,0.996,0.592,0.252,0.41
Belgium,79.5,84.4,10.2,9.7,18,6.923,1.356,1.504,0.986,0.473,0.16,0.21
Finland,79.3,84.7,9.0,10.4,1,7.769,1.34,1.587,0.986,0.596,0.153,0.393
France,79.3,85.5,10.9,9.7,24,6.592,1.324,1.472,1.045,0.436,0.111,0.183
Austria,78.8,83.8,9.6,10.3,10,7.246,1.376,1.475,1.016,0.532,0.244,0.226
United Kingdom,78.7,82.8,10.1,9.7,15,7.054,1.333,1.538,0.996,0.45,0.348,0.278
Germany,78.5,83.4,9.6,12.3,17,6.985,1.373,1.454,0.987,0.495,0.261,0.265
Qatar,78.3,80.9,9.8,1.3,29,6.374,1.684,1.313,0.871,0.555,0.22,0.167
Portugal,78.0,84.3,7.7,12.1,66,5.693,1.221,1.431,0.999,0.508,0.047,0.025
Bahrain,77.8,80.0,11.9,2.5,37,6.199,1.362,1.368,0.871,0.536,0.255,0.11
Greece,77.5,83.0,8.0,13.5,82,5.287,1.181,1.156,0.999,0.067,0.0,0.034
United Arab Emirates,77.2,80.9,10.3,1.9,21,6.825,1.503,1.31,0.825,0.598,0.262,0.182
Kuwait,77.2,81.5,10.4,2.9,51,6.021,1.5,1.319,0.808,0.493,0.142,0.097
Chile,76.5,81.4,11.8,7.4,26,6.444,1.159,1.369,0.92,0.357,0.187,0.056
Saudi Arabia,75.6,78.8,17.5,2.9,28,6.375,1.403,1.357,0.795,0.439,0.08,0.132
China,75.5,81.2,7.5,7.2,93,5.191,1.029,1.125,0.893,0.521,0.058,0.1
Algeria,74.9,78.0,21.5,4.5,88,5.211,1.002,1.16,0.785,0.086,0.073,0.114
Thailand,74.5,83.0,9.0,7.9,52,6.008,1.05,1.409,0.828,0.557,0.359,0.028
Costa Rica,74.4,79.8,11.9,7.2,12,7.167,1.034,1.441,0.963,0.558,0.144,0.093
Albania,74.1,79.2,10.2,11.3,107,4.719,0.947,0.848,0.874,0.383,0.178,0.027
United States,73.5,79.3,11.0,10.4,19,6.892,1.433,1.457,0.874,0.454,0.28,0.128
Croatia,73.4,79.6,9.4,16.2,75,5.432,1.155,1.266,0.914,0.296,0.119,0.022
Sri Lanka,73.1,79.5,14.0,7.4,130,4.366,0.949,1.265,0.831,0.47,0.244,0.047
Panama,73.1,79.6,17.7,6.1,31,6.321,1.149,1.442,0.91,0.516,0.109,0.054
Turkey,73.0,79.1,14.7,6.4,79,5.373,1.183,1.36,0.808,0.195,0.083,0.106
Lebanon,72.8,77.3,14.9,8.3,91,5.197,0.987,1.224,0.815,0.216,0.166,0.027
Malaysia,72.7,77.4,15.2,6.0,80,5.339,1.221,1.171,0.828,0.508,0.26,0.024
Estonia,72.4,81.3,10.0,14.0,55,5.893,1.237,1.528,0.874,0.495,0.103,0.161
Argentina,72.2,78.6,13.9,9.0,47,6.086,1.092,1.432,0.881,0.471,0.066,0.05
Jordan,72.1,76.8,22.0,3.9,101,4.906,0.837,1.225,0.815,0.383,0.11,0.13
Morocco,71.9,76.4,17.5,6.2,89,5.208,0.801,0.782,0.782,0.418,0.036,0.076
Poland,71.7,79.7,8.8,13.8,40,6.182,1.206,1.438,0.884,0.483,0.117,0.05
Iran,71.2,76.8,13.7,6.4,117,4.548,1.1,0.842,0.785,0.305,0.27,0.125
Hungary,71.1,78.0,9.7,16.1,62,5.758,1.201,1.41,0.828,0.199,0.081,0.02
Montenegro,70.8,77.0,11.4,14.8,73,5.523,1.051,1.361,0.871,0.197,0.142,0.08
Bangladesh,70.6,74.3,17.8,5.7,125,4.456,0.562,0.928,0.723,0.527,0.166,0.143
Mauritius,70.3,77.2,10.3,10.5,57,5.888,1.12,1.402,0.798,0.498,0.215,0.06
Ecuador,70.3,77.5,16.8,6.7,50,6.028,0.912,1.312,0.868,0.498,0.126,0.087
Serbia,70.0,75.6,9.1,20.0,70,5.603,1.004,1.383,0.854,0.282,0.137,0.039
Lithuania,69.9,79.0,8.3,17.0,42,6.149,1.238,1.515,0.818,0.291,0.043,0.042
Brazil,69.6,76.0,12.9,8.3,32,6.3,1.004,1.439,0.802,0.39,0.099,0.086
Colombia,69.4,76.4,14.2,7.7,43,6.125,0.985,1.41,0.841,0.47,0.099,0.034
Romania,69.4,76.7,9.3,17.5,48,6.07,1.162,1.232,0.825,0.462,0.083,0.005
Dominican Republic,69.3,76.3,18.4,6.7,77,5.425,1.015,1.401,0.779,0.497,0.113,0.101
Vietnam,69.1,78.2,15.0,7.3,94,5.175,0.741,1.346,0.851,0.543,0.147,0.073
Syria,69.1,75.2,20.1,5.1,149,3.462,0.619,0.378,0.44,0.013,0.331,0.141
Latvia,68.6,78.2,9.2,18.4,53,5.94,1.187,1.465,0.812,0.264,0.075,0.064
Uzbekistan,68.3,73.4,25.9,5.0,41,6.174,0.745,1.529,0.756,0.631,0.322,0.24
Iraq,68.2,72.4,27.4,4.8,126,4.437,1.043,0.98,0.574,0.241,0.148,0.089
Bulgaria,68.1,75.1,8.5,21.7,97,5.011,1.092,1.513,0.815,0.311,0.081,0.004
Egypt,67.9,72.6,22.6,6.3,137,4.166,0.913,1.039,0.644,0.241,0.076,0.067
Philippines,67.2,71.5,21.8,7.3,69,5.631,0.807,1.293,0.657,0.558,0.117,0.107
Cambodia,66.8,72.3,19.3,6.8,109,4.7,0.574,1.122,0.637,0.609,0.232,0.062
Georgia,66.8,76.7,13.4,15.2,119,4.519,0.886,0.666,0.752,0.346,0.043,0.164
Nepal,66.6,70.4,20.4,7.8,100,4.913,0.446,1.226,0.677,0.439,0.285,0.089
Armenia,66.6,77.4,12.0,13.0,116,4.559,0.85,1.055,0.815,0.283,0.095,0.064
Mongolia,66.5,75.7,21.4,6.1,83,5.285,0.948,1.531,0.667,0.317,0.235,0.038
Kazakhstan,66.3,74.0,23.5,9.6,60,5.809,1.173,1.508,0.729,0.41,0.146,0.096
Venezuela,66.3,75.2,15.9,8.1,108,4.707,0.96,1.427,0.805,0.154,0.064,0.047
Laos,66.2,70.1,22.0,6.6,105,4.796,0.764,1.03,0.551,0.547,0.266,0.164
El Salvador,66.1,75.1,16.0,8.7,35,6.253,0.794,1.242,0.789,0.43,0.093,0.074
Mexico,66.1,74.9,14.9,9.4,23,6.595,1.07,1.323,0.861,0.433,0.074,0.073
Guatemala,66.0,72.7,21.1,6.5,27,6.436,0.8,1.269,0.746,0.535,0.175,0.078
India,65.8,68.9,16.4,9.4,140,4.015,0.755,0.765,0.588,0.498,0.2,0.085
Azerbaijan,65.6,73.3,11.1,7.6,90,5.208,1.043,1.147,0.769,0.351,0.035,0.182
Indonesia,65.5,69.7,16.4,10.1,92,5.192,0.931,1.203,0.66,0.491,0.498,0.028
Ukraine,65.2,74.4,7.3,18.5,133,4.332,0.82,1.39,0.739,0.178,0.187,0.01
Senegal,64.8,69.3,32.6,5.9,111,4.681,0.45,1.134,0.571,0.292,0.153,0.072
Russia,64.2,74.8,9.6,16.7,68,5.648,1.183,1.452,0.726,0.334,0.082,0.031
Tanzania,64.2,68.3,36.2,6.2,153,3.231,0.476,0.885,0.499,0.417,0.276,0.147
Pakistan,63.8,68.6,27.5,7.2,67,5.653,0.677,0.886,0.535,0.313,0.22,0.098
Myanmar,62.5,69.0,17.1,9.8,131,4.36,0.71,1.181,0.555,0.525,0.566,0.172
Ethiopia,61.9,68.3,32.4,6.8,134,4.286,0.336,1.033,0.532,0.344,0.209,0.1
